1  0.30 0:00.33 61644 f
1  0.51 0:00.55 105112 fr
2  0.63 0:00.71 111500 f
2  1.21 0:01.36 198116 fr
5  1.54 0:01.84 270788 f
5  2.22 0:02.47 486088 fr
10  2.85 0:03.19 538752 f
10  5.57 0:05.98 969476 fr
20  6.92 0:07.60 1070304 f
20  12.08 0:12.81 1935500 fr
50  20.41 0:22.14 2664580 f
50  32.66 0:34.50 4845120 fr
100  43.27 0:47.14 5373972 f
100  66.18 1:10.92 9712804 fr
